Antecedent,Consequent,Support,Confidence,Lift,Rule_Type
"{curd, sausage, yogurt}",{rolls/buns},0.0004,0.5,4.1866,Normal
"{brown bread, hard cheese}",{other vegetables},0.0004,0.5,3.5157,Normal
"{chicken, hard cheese}",{other vegetables},0.0004,0.5,3.5157,Normal
"{cream cheese , hard cheese}",{other vegetables},0.0004,0.5,3.5157,Normal
"{frozen meals, margarine}",{other vegetables},0.0004,0.5,3.5157,Normal
"{hard cheese, sausage}",{other vegetables},0.0007,0.5,3.5157,Normal
"{herbs, pork}",{other vegetables},0.0004,0.5,3.5157,Normal
"{meat, shopping bags}",{other vegetables},0.0004,0.5,3.5157,Normal
"{softener, whole milk}",{other vegetables},0.0004,0.5,3.5157,Normal
"{spread cheese, yogurt}",{other vegetables},0.0004,0.5,3.5157,Normal
"{curd, tropical fruit, whole milk}",{other vegetables},0.0004,0.5,3.5157,Normal
{ready soups},{whole milk},0.0004,0.5,2.5697,Normal
"{brown bread, hard cheese}",{whole milk},0.0004,0.5,2.5697,Normal
"{brown bread, waffles}",{whole milk},0.0004,0.5,2.5697,Normal
"{cake bar, rolls/buns}",{whole milk},0.0004,0.5,2.5697,Normal
"{candy, frankfurter}",{whole milk},0.0004,0.5,2.5697,Normal
"{canned beer, cat food}",{whole milk},0.0004,0.5,2.5697,Normal
"{canned beer, hygiene articles}",{whole milk},0.0006,0.5,2.5697,Normal
"{domestic eggs, meat}",{whole milk},0.0004,0.5,2.5697,Normal
"{domestic eggs, salty snack}",{whole milk},0.0004,0.5,2.5697,Normal
"{domestic eggs, semi-finished bread}",{whole milk},0.0004,0.5,2.5697,Normal
"{flour, frankfurter}",{whole milk},0.0004,0.5,2.5697,Normal
"{hygiene articles, soda}",{whole milk},0.0006,0.5,2.5697,Normal
"{long life bakery product, yogurt}",{whole milk},0.0004,0.5,2.5697,Normal
"{newspapers, white bread}",{whole milk},0.0004,0.5,2.5697,Normal
"{pet care, yogurt}",{whole milk},0.0004,0.5,2.5697,Normal
"{pip fruit, sweet spreads}",{whole milk},0.0004,0.5,2.5697,Normal
"{processed cheese, rolls/buns}",{whole milk},0.0007,0.5,2.5697,Normal
"{rolls/buns, white bread}",{whole milk},0.0013,0.5,2.5697,Normal
"{salty snack, whipped/sour cream}",{whole milk},0.0004,0.5,2.5697,Normal
"{sausage, semi-finished bread}",{whole milk},0.0006,0.5,2.5697,Normal
"{shopping bags, white bread}",{whole milk},0.0004,0.5,2.5697,Normal
"{white bread, yogurt}",{whole milk},0.0006,0.5,2.5697,Normal
"{curd, other vegetables, tropical fruit}",{whole milk},0.0004,0.5,2.5697,Normal
"{curd, rolls/buns, sausage}",{whole milk},0.0004,0.5,2.5697,Normal
"{frankfurter, other vegetables, sausage}",{whole milk},0.0004,0.5,2.5697,Normal
"{pastry, sausage, soda}",{whole milk},0.0006,0.5,2.5697,Normal
"{pork, soda, yogurt}",{whole milk},0.0004,0.5,2.5697,Normal
"{beef, rolls/buns}",{whole milk},0.0009,0.4615,2.372,Normal
"{curd, margarine}",{sausage},0.0007,0.4545,4.383,Normal
"{sausage, waffles}",{other vegetables},0.0007,0.4545,3.1961,Normal
"{grapes, yogurt}",{whole milk},0.0007,0.4545,2.3361,Normal
"{citrus fruit, other vegetables, yogurt}",{pork},0.0006,0.4444,7.4609,Normal
"{rolls/buns, sausage, yogurt}",{tropical fruit},0.0006,0.4444,4.7921,Normal
"{onions, whipped/sour cream}",{yogurt},0.0006,0.4444,4.6758,Normal
"{pork, sausage, whole milk}",{yogurt},0.0006,0.4444,4.6758,Normal
"{rolls/buns, sausage, tropical fruit}",{yogurt},0.0006,0.4444,4.6758,Normal
"{pork, sausage, whole milk}",{soda},0.0006,0.4444,4.4272,Normal
"{candy, yogurt}",{rolls/buns},0.0006,0.4444,3.7214,Normal
"{pip fruit, salty snack}",{whole milk},0.0006,0.4444,2.2842,Normal
"{liquor, rolls/buns}",{cream cheese },0.0004,0.4286,18.5705,Normal
"{root vegetables, tropical fruit, yogurt}",{onions},0.0004,0.4286,17.0764,Normal
"{rolls/buns, semi-finished bread}",{fruit/vegetable juice},0.0004,0.4286,13.8845,Normal
"{frankfurter, waffles}",{curd},0.0004,0.4286,11.0869,Normal
"{beef, processed cheese}",{shopping bags},0.0004,0.4286,10.574,Normal
"{cream cheese , specialty chocolate}",{chicken},0.0004,0.4286,9.6785,Normal
"{bottled beer, ice cream}",{pastry},0.0004,0.4286,8.0741,Normal
"{sweet spreads, whole milk}",{pip fruit},0.0004,0.4286,6.7072,Normal
"{candy, citrus fruit}",{frankfurter},0.0004,0.4286,6.1012,Normal
"{coffee, fruit/vegetable juice}",{citrus fruit},0.0004,0.4286,5.6704,Normal
"{canned beer, whole milk, yogurt}",{citrus fruit},0.0004,0.4286,5.6704,Normal
"{rolls/buns, sugar}",{root vegetables},0.0004,0.4286,5.2496,Normal
"{liquor, rolls/buns}",{tropical fruit},0.0004,0.4286,4.621,Normal
"{canned beer, whole milk, yogurt}",{tropical fruit},0.0004,0.4286,4.621,Normal
"{oil, root vegetables}",{yogurt},0.0004,0.4286,4.5088,Normal
"{citrus fruit, tropical fruit, whole milk}",{yogurt},0.0004,0.4286,4.5088,Normal
"{pork, rolls/buns, whole milk}",{yogurt},0.0004,0.4286,4.5088,Normal
"{pork, soda, whole milk}",{yogurt},0.0004,0.4286,4.5088,Normal
"{bottled water, specialty bar}",{soda},0.0004,0.4286,4.2691,Normal
"{shopping bags, white wine}",{soda},0.0004,0.4286,4.2691,Normal
"{bottled water, sausage, whole milk}",{soda},0.0004,0.4286,4.2691,Normal
"{pork, whole milk, yogurt}",{soda},0.0004,0.4286,4.2691,Normal
"{sausage, shopping bags, whole milk}",{soda},0.0004,0.4286,4.2691,Normal
{cocoa drinks},{sausage},0.0004,0.4286,4.1325,Normal
"{cake bar, whole milk}",{sausage},0.0004,0.4286,4.1325,Normal
"{hamburger meat, white bread}",{sausage},0.0004,0.4286,4.1325,Normal
"{other vegetables, pip fruit, rolls/buns}",{sausage},0.0004,0.4286,4.1325,Normal
"{other vegetables, shopping bags, whole milk}",{sausage},0.0004,0.4286,4.1325,Normal
"{bottled beer, candy}",{rolls/buns},0.0004,0.4286,3.5885,Normal
"{bottled beer, salty snack}",{rolls/buns},0.0004,0.4286,3.5885,Normal
"{cake bar, whole milk}",{rolls/buns},0.0004,0.4286,3.5885,Normal
"{hygiene articles, tropical fruit}",{rolls/buns},0.0004,0.4286,3.5885,Normal
"{margarine, shopping bags}",{rolls/buns},0.0004,0.4286,3.5885,Normal
"{red/blush wine, whole milk}",{rolls/buns},0.0004,0.4286,3.5885,Normal
"{other vegetables, white bread, whole milk}",{rolls/buns},0.0004,0.4286,3.5885,Normal
"{pork, whole milk, yogurt}",{rolls/buns},0.0004,0.4286,3.5885,Normal
"{bottled beer, cream cheese }",{other vegetables},0.0004,0.4286,3.0135,Normal
"{bottled beer, frozen meals}",{other vegetables},0.0004,0.4286,3.0135,Normal
"{cream cheese , specialty chocolate}",{other vegetables},0.0004,0.4286,3.0135,Normal
"{curd, specialty chocolate}",{other vegetables},0.0004,0.4286,3.0135,Normal
"{domestic eggs, margarine}",{other vegetables},0.0004,0.4286,3.0135,Normal
"{frozen meals, pork}",{other vegetables},0.0004,0.4286,3.0135,Normal
"{napkins, newspapers}",{other vegetables},0.0004,0.4286,3.0135,Normal
"{citrus fruit, tropical fruit, whole milk}",{other vegetables},0.0004,0.4286,3.0135,Normal
"{sausage, shopping bags, whole milk}",{other vegetables},0.0004,0.4286,3.0135,Normal
{softener},{whole milk},0.0009,0.4286,2.2026,Normal
"{bottled beer, whipped/sour cream}",{whole milk},0.0004,0.4286,2.2026,Normal
"{butter, onions}",{whole milk},0.0004,0.4286,2.2026,Normal
"{cake bar, sausage}",{whole milk},0.0004,0.4286,2.2026,Normal
"{chewing gum, root vegetables}",{whole milk},0.0004,0.4286,2.2026,Normal
"{finished products, other vegetables}",{whole milk},0.0004,0.4286,2.2026,Normal
"{frozen vegetables, tropical fruit}",{whole milk},0.0004,0.4286,2.2026,Normal
"{hamburger meat, soft cheese}",{whole milk},0.0004,0.4286,2.2026,Normal
"{onions, yogurt}",{whole milk},0.0009,0.4286,2.2026,Normal
"{shopping bags, waffles}",{whole milk},0.0004,0.4286,2.2026,Normal
"{soda, soft cheese}",{whole milk},0.0004,0.4286,2.2026,Normal
"{other vegetables, pastry, rolls/buns}",{whole milk},0.0004,0.4286,2.2026,Normal
"{other vegetables, sausage, yogurt}",{whole milk},0.0004,0.4286,2.2026,Normal
"{pork, rolls/buns, yogurt}",{whole milk},0.0004,0.4286,2.2026,Normal
{house keeping products},{whole milk},0.0012,0.4211,2.1639,Normal
"{butter milk, canned beer}",{yogurt},0.0007,0.4167,4.3835,Normal
"{bottled beer, chocolate}",{whole milk},0.0007,0.4167,2.1414,Normal
"{citrus fruit, shopping bags}",{whole milk},0.001,0.4118,2.1162,Normal
"{frankfurter, white bread}",{curd},0.0006,0.4,10.3478,Normal
"{curd, white bread}",{frankfurter},0.0006,0.4,5.6945,Normal
"{citrus fruit, domestic eggs}",{tropical fruit},0.0006,0.4,4.3129,Normal
"{candy, rolls/buns}",{yogurt},0.0006,0.4,4.2082,Normal
"{chewing gum, sausage}",{yogurt},0.0006,0.4,4.2082,Normal
"{curd, pastry}",{sausage},0.0006,0.4,3.857,Normal
"{butter, chicken}",{rolls/buns},0.0006,0.4,3.3493,Normal
"{other vegetables, sausage, soda}",{rolls/buns},0.0006,0.4,3.3493,Normal
{prosecco},{other vegetables},0.0006,0.4,2.8126,Normal
"{butter, whipped/sour cream}",{other vegetables},0.0006,0.4,2.8126,Normal
"{curd, pastry}",{other vegetables},0.0006,0.4,2.8126,Normal
"{frozen meals, tropical fruit}",{other vegetables},0.0006,0.4,2.8126,Normal
"{rolls/buns, sausage, soda}",{other vegetables},0.0006,0.4,2.8126,Normal
{light bulbs},{whole milk},0.0009,0.4,2.0557,Normal
"{beef, bottled beer}",{whole milk},0.0009,0.4,2.0557,Normal
"{chewing gum, sausage}",{whole milk},0.0006,0.4,2.0557,Normal
"{domestic eggs, fruit/vegetable juice}",{whole milk},0.0006,0.4,2.0557,Normal
"{sausage, soda, yogurt}",{whole milk},0.0006,0.4,2.0557,Normal
"{pork, sausage}",{whole milk},0.0013,0.3913,2.0111,Normal
"{chewing gum, yogurt}",{soda},0.0007,0.3846,3.8312,Normal
"{dessert, soda}",{rolls/buns},0.0007,0.3846,3.2205,Normal
"{pastry, soda, whole milk}",{other vegetables},0.0007,0.3846,2.7044,Normal
{canned fruit},{whole milk},0.0007,0.3846,1.9767,Normal
"{dessert, yogurt}",{whole milk},0.0007,0.3846,1.9767,Normal
"{white wine, yogurt}",{frozen vegetables},0.0004,0.375,13.0647,Normal
"{rolls/buns, shopping bags, soda}",{butter},0.0004,0.375,10.2762,Normal
"{bottled beer, coffee}",{pastry},0.0004,0.375,7.0649,Normal
"{tropical fruit, white bread}",{bottled water},0.0004,0.375,6.2198,Normal
"{frankfurter, specialty chocolate}",{citrus fruit},0.0004,0.375,4.9616,Normal
"{frankfurter, specialty chocolate}",{tropical fruit},0.0004,0.375,4.0434,Normal
"{pip fruit, waffles}",{tropical fruit},0.0004,0.375,4.0434,Normal
"{bottled water, newspapers}",{yogurt},0.0009,0.375,3.9452,Normal
"{other vegetables, spread cheese}",{yogurt},0.0004,0.375,3.9452,Normal
"{root vegetables, soft cheese}",{yogurt},0.0004,0.375,3.9452,Normal
"{beef, white wine}",{soda},0.0004,0.375,3.7355,Normal
"{berries, fruit/vegetable juice}",{soda},0.0004,0.375,3.7355,Normal
"{frankfurter, oil}",{soda},0.0004,0.375,3.7355,Normal
"{sausage, specialty bar}",{soda},0.0004,0.375,3.7355,Normal
"{white wine, yogurt}",{soda},0.0004,0.375,3.7355,Normal
"{bottled water, frozen meals}",{sausage},0.0004,0.375,3.616,Normal
"{chewing gum, soda}",{sausage},0.0004,0.375,3.616,Normal
"{curd, frozen meals}",{sausage},0.0004,0.375,3.616,Normal
"{chocolate, soda}",{rolls/buns},0.0004,0.375,3.1399,Normal
"{curd, hard cheese}",{rolls/buns},0.0004,0.375,3.1399,Normal
"{liquor, tropical fruit}",{rolls/buns},0.0004,0.375,3.1399,Normal
"{bottled beer, dessert}",{other vegetables},0.0004,0.375,2.6368,Normal
"{coffee, whipped/sour cream}",{other vegetables},0.0004,0.375,2.6368,Normal
"{domestic eggs, frankfurter}",{other vegetables},0.0009,0.375,2.6368,Normal
"{frozen vegetables, pork}",{other vegetables},0.0004,0.375,2.6368,Normal
"{house keeping products, whole milk}",{other vegetables},0.0004,0.375,2.6368,Normal
"{long life bakery product, tropical fruit}",{other vegetables},0.0004,0.375,2.6368,Normal
"{soda, white bread}",{other vegetables},0.0009,0.375,2.6368,Normal
"{tropical fruit, white bread}",{other vegetables},0.0004,0.375,2.6368,Normal
"{whipped/sour cream, white bread}",{other vegetables},0.0004,0.375,2.6368,Normal
{artif. sweetener},{whole milk},0.0009,0.375,1.9273,Normal
"{beef, waffles}",{whole milk},0.0004,0.375,1.9273,Normal
"{beef, whipped/sour cream}",{whole milk},0.0009,0.375,1.9273,Normal
"{chewing gum, soda}",{whole milk},0.0004,0.375,1.9273,Normal
"{cream cheese , shopping bags}",{whole milk},0.0004,0.375,1.9273,Normal
"{flour, soda}",{whole milk},0.0004,0.375,1.9273,Normal
"{hamburger meat, margarine}",{whole milk},0.0004,0.375,1.9273,Normal
"{long life bakery product, tropical fruit}",{whole milk},0.0004,0.375,1.9273,Normal
"{other vegetables, waffles}",{whole milk},0.0009,0.375,1.9273,Normal
"{soda, turkey}",{whole milk},0.0004,0.375,1.9273,Normal
"{other vegetables, sausage, shopping bags}",{whole milk},0.0004,0.375,1.9273,Normal
"{margarine, soda}",{whole milk},0.001,0.3684,1.8934,Normal
"{flour, tropical fruit}",{whipped/sour cream},0.0006,0.3636,8.6339,Normal
"{chewing gum, pastry}",{yogurt},0.0006,0.3636,3.8256,Normal
"{herbs, other vegetables}",{yogurt},0.0006,0.3636,3.8256,Normal
"{other vegetables, tropical fruit, whole milk}",{yogurt},0.0006,0.3636,3.8256,Normal
"{pastry, sausage, whole milk}",{soda},0.0006,0.3636,3.6223,Normal
"{berries, pip fruit}",{other vegetables},0.0006,0.3636,2.5569,Normal
"{canned beer, ham}",{other vegetables},0.0006,0.3636,2.5569,Normal
"{tropical fruit, whole milk, yogurt}",{other vegetables},0.0006,0.3636,2.5569,Normal
"{bottled beer, newspapers}",{whole milk},0.0006,0.3636,1.8689,Normal
"{domestic eggs, shopping bags}",{whole milk},0.0006,0.3636,1.8689,Normal
